,0,31,59,90,120,151,181,212,243,273,304,334
0,126.2,132.77,133.3,136.98,147.37,210.45,329.42,400.35,326.98,219.03,160.47,130.18
1,114.2,110.08,109.5,114.85,128.1,199.52,331.57,420.18,334.63,200.48,149.95,122.88
2,131.43,112.88,112.4,117.43,133.0,193.98,313.48,426.63,355.27,213.67,162.0,143.07
3,126.47,118.0,116.07,115.43,137.95,207.98,311.23,353.17,280.57,192.55,137.98,124.05
4,119.08,104.18,99.42,101.1,118.77,184.38,300.45,377.23,295.93,174.02,132.25,115.35
5,122.33,113.48,109.43,111.17,117.92,171.67,274.65,363.02,300.05,175.9,134.68,131.13
6,114.12,101.48,104.17,111.47,122.82,197.33,317.75,387.72,314.87,200.28,157.07,137.37
7,109.58,111.17,109.72,109.1,121.52,188.92,317.62,396.1,318.2,203.68,153.45,146.52
8,127.52,118.42,115.5,111.62,133.02,198.82,306.23,373.9,306.83,192.88,149.25,138.07
9,133.85,117.02,110.32,117.3,134.87,222.62,356.08,437.57,352.1,216.45,161.48,134.38
10,135.37,128.73,125.85,128.4,146.8,211.13,328.02,400.13,322.68,214.15,173.47,156.75
11,132.58,122.1,122.67,125.02,133.33,196.37,328.75,405.52,313.25,195.77,158.8,129.85
12,112.25,110.2,117.87,115.1,125.03,188.18,298.1,370.62,299.75,191.02,155.23,140.93
13,130.77,127.65,129.67,126.55,141.7,205.2,316.6,374.22,307.88,213.88,156.88,126.88
14,118.28,113.82,114.33,119.77,129.78,190.18,329.58,405.02,313.52,203.58,154.68,131.3
15,128.82,112.13,106.5,113.05,127.45,197.95,317.35,385.27,310.22,197.15,146.55,125.45
16,129.35,124.72,120.28,125.75,156.33,205.78,302.43,373.4,320.53,228.6,166.02,136.3
17,120.03,109.45,106.78,115.95,129.43,177.4,272.78,334.68,279.17,197.13,149.88,127.7
18,112.0,114.23,104.98,95.72,112.27,186.2,305.55,381.67,319.22,198.37,135.05,114.32
19,102.42,94.9,94.25,101.33,119.75,179.3,285.97,363.0,303.12,197.05,145.6,114.27
20,129.9,126.18,124.02,126.5,134.08,201.15,323.57,399.37,329.55,215.78,162.83,141.73
